Rank,Country,Continent,Goals
1,France,Europe,552
2,England,Europe,440
3,Netherlands,Europe,211
4,Spain,Europe,105
5,Brazil,South America,91
6,Gabon,Africa,68
7,Germany,Europe,67
8,Chile,South America,60
9,Wales,Europe,54
10,Sweden,Europe,50
11,Togo,Africa,46
12,Nigeria,Africa,41
13,Ivory Coast,Africa,39
14,Denmark,Europe,25
15,Russia,Europe,23
15,Norway,Europe,23
17,Switzerland,Europe,22
18,Czechia,Europe,19
19,Croatia,Europe,15
20,Belgium,Europe,14
20,Cameroon,Africa,14
22,Armenia,Europe,8
22,Morocco,Africa,8
24,Belarus,Europe,7
24,Scotland,Europe,7
26,Ghana,Africa,5
27,Israel,Europe,4
27,Portugal,Europe,4
29,Costa Rica,North America,3
29,Greece,Europe,3
29,Liberia,Africa,3
29,Mexico,North America,3
29,Uruguay,South America,3
34,Bosnia-Herzegovina,Europe,2
35,Egypt,Africa,1
35,Northern Ireland,Europe,1
35,Trinidad & Tobago,North America,1
35,Ukraine,Europe,1
35,Poland,Europe,1
