Rank,Order,Scorers,Country,Position,Opponent,Own Goals
1,15,Jody Craddock (og),England,Defender,Wolverhampton Wanderers,2
2,1,Jon Newsome (og),England,Defender,Leeds United,1
2,2,Eddie Youds (og),England,Defender,Ipswich Town,1
2,3,Gary Pallister (og),England,Defender,Manchester United,1
2,4,Michael Vonk (og),Netherlands,Defender,Manchester City,1
2,5,Rob Newman (og),England,Defender,Norwich City,1
2,6,Steve Walsh (og),England,Defender,Leicester City,1
2,7,Slaven Bilic (og),Croatia,Defender,Everton,1
2,8,Ben Thatcher (og),Wales,Defender,Wimbledon,1
2,9,Frank Sinclair (og),Jamaica,Defender,Leicester City,1
2,10,Chris Armstrong (og),England,Striker,Tottenham Hotspur,1
2,11,Rio Ferdinand (og),England,Defender,West Ham United,1
2,12,Steve Marlet (og),France,Striker,Fulham,1
2,13,Marcel Desailly (og),France,Defender,Chelsea,1
2,14,Sami Hyypia (og),Finland,Defender,Liverpool,1
2,16,Franck Queudrue (og),France,Defender,Middlesbrough,1
2,17,Michael Tarnat (og),Germany,Defender,Manchester City,1
2,18,Zat Knight (og),England,Defender,Fulham,1
2,19,Stephen Clemence (og),England,Midfielder,Birmingham City,1
2,20,Danny Collins (og),Wales,Defender,Sunderland,1
2,21,Phil Jagielka (og),England,Defender,Sheffield United,1
2,22,Jordan Stewart (og),England,Defender,Watford,1
2,23,Fitz Hall (og),England,Defender,Wigan Athletic,1
2,24,Jlloyd Samuel (og),Trinidad & Tobago,Defender,Bolton Wanderers,1
2,25,Paul McShane (og),Ireland,Defender,Hull City,1
2,26,Julien Faubert (og),France,Midfielder,West Ham United,1
2,27,Andre Ooijer (og),Netherlands,Defender,Blackburn Rovers,1
2,28,James Beattie (og),England,Striker,Stoke City,1
2,29,Ronald Zubar (og),Guadeloupe,Defender,Wolverhampton Wanderers,1
2,30,Glen Johnson (og),England,Defender,Liverpool,1
2,31,Chris Baird (og),Northern Ireland,Defender,Fulham,1
2,32,Pepe Reina (og),Spain,Goalkeeper,Liverpool,1
2,33,Roger Johnson (og),England,Defender,Birmingham City,1
2,34,Scott Dann (og),England,Defender,Blackburn Rovers,1
2,35,Jos Hooiveid (og),Netherlands,Defender,Southampton,1
2,36,Nathaniel Clyne (og),England,Defender,Southampton,1
2,37,Guly Do Prado (og),Brazil,Striker,Southampton,1
2,38,Aly Cissokho (og),France,Defender,Aston Villa,1
2,39,Tyler Blackett (og),England,Defender,Manchester United,1
2,40,Damien Delaney (og),Ireland,Defender,Crystal Palace,1
2,41,Fabricio Coloccini (og),Argentina,Defender,Newcastle United,1
2,42,Mark Bunn (og),England,Goalkeeper,Aston Villa,1
2,43,Kevin Wimmer (og),Austria,Defender,Tottenham Hotspur,1
2,44,Jack Cork (og),England,Midfielder,Swansea City,1
2,45,Kyle Naughton (og),England,Defender,Swansea City,1
2,46,Robert Huth (og),Germany,Defender,Leicester City,1
2,47,James McClean (og),Ireland,Midfielder,West Bromwich Albion,1
2,48,Issa Diop (og),France,Defender,West Ham United,1
2,49,Craig Cathcart (og),Northern Ireland,Defender,Watford,1
2,50,Jefferson Lerma (og),Colombia,Midfielder,Bournemouth,1
2,51,Marcos Rojo (og),Argentina,Defender,Manchester United,1
2,52,Tomas Soucek (og),Czech Republic,Midfielder,West Ham United,1
2,53,Craig Dawson (og),England,Defender,West Ham United,1
2,54,Jose Malheiro De Sa (og),Portugal,Goalkeeper,Wolverhampton Wanderers,1
2,55,Marc Guehi (og),England,Defender,Crystal Palace,1
2,56,Hugo Lloris (og),France,Goalkeeper,Tottenham Hotspur,1
2,57,Emiliano Martinez (og),Argentina,Goalkeeper,Aston Villa,1
2,58,Fabian Schar (og),Switzerland,Defender,Newcastle United,1
