Rank,Outcome,Scores,Total,TotalRank,Home,HomeRank,Away,AwayRank
1,Draw,1-1,130,1,59,4,71,1
2,Win,1-0,123,2,61,3,62,2
3,Win,2-0,113,3,68,1,45,4
4,Win,2-1,106,4,65,2,41,6
5,Win,3-1,74,5,43,6,31,7
6,Win,3-0,72,6,45,5,27,9
6,Lose,0-1,72,6,19,10,53,3
8,Lose,1-2,65,8,21,8,44,5
9,Draw,2-2,50,9,21,8,29,8
10,Win,4-1,38,10,25,7,13,13
11,Lose,0-2,32,11,10,14,22,10
12,Win,4-0,31,12,15,11,16,12
13,Lose,1-3,27,13,10,14,17,11
14,Win,3-2,24,14,13,12,11,15
15,Lose,0-3,19,15,8,16,11,15
16,Lose,2-3,18,16,6,20,12,14
17,Win,5-0,14,17,13,12,1,27
18,Draw,3-3,13,18,7,19,6,17
19,Win,5-1,12,19,8,16,4,19
19,Win,4-2,12,19,8,16,4,19
21,Win,5-2,6,21,3,21,3,21
22,Win,6-1,5,22,3,21,2,22
22,Lose,0-4,5,22,0,34,5,18
22,Lose,2-4,5,22,3,21,2,22
25,Win,6-2,3,25,2,25,1,27
25,Win,4-3,3,25,3,21,0,37
25,Win,5-3,3,25,2,25,1,27
25,Lose,1-4,3,25,1,28,2,22
25,Draw,4-4,3,25,1,28,2,22
30,Win,7-0,2,30,2,25,0,37
30,Lose,1-5,2,30,0,34,2,22
30,Lose,3-4,2,30,1,28,1,27
33,Win,6-0,1,33,1,28,0,37
33,Win,7-1,1,33,1,28,0,37
33,Win,7-3,1,33,1,28,0,37
33,Win,5-4,1,33,0,34,1,27
33,Lose,0-5,1,33,0,34,1,27
33,Lose,0-6,1,33,0,34,1,27
33,Lose,1-6,1,33,0,34,1,27
33,Lose,2-8,1,33,0,34,1,27
33,Lose,3-6,1,33,0,34,1,27
42,Win,7-2,0,42,0,34,0,37
42,Win,6-3,0,42,0,34,0,37
42,Win,6-4,0,42,0,34,0,37
42,Win,7-4,0,42,0,34,0,37
42,Win,6-5,0,42,0,34,0,37
42,Win,7-5,0,42,0,34,0,37
42,Win,7-6,0,42,0,34,0,37
42,Lose,0-7,0,42,0,34,0,37
42,Lose,0-8,0,42,0,34,0,37
42,Lose,0-9,0,42,0,34,0,37
42,Lose,1-7,0,42,0,34,0,37
42,Lose,1-8,0,42,0,34,0,37
42,Lose,1-9,0,42,0,34,0,37
42,Lose,2-5,0,42,0,34,0,37
42,Lose,2-6,0,42,0,34,0,37
42,Lose,2-7,0,42,0,34,0,37
42,Lose,2-9,0,42,0,34,0,37
42,Lose,3-5,0,42,0,34,0,37
42,Lose,3-7,0,42,0,34,0,37
42,Lose,3-8,0,42,0,34,0,37
42,Lose,3-9,0,42,0,34,0,37
42,Lose,4-5,0,42,0,34,0,37
42,Lose,4-6,0,42,0,34,0,37
42,Lose,4-7,0,42,0,34,0,37
42,Lose,4-8,0,42,0,34,0,37
42,Lose,4-9,0,42,0,34,0,37
42,Lose,5-6,0,42,0,34,0,37
42,Lose,5-7,0,42,0,34,0,37
42,Lose,5-8,0,42,0,34,0,37
42,Lose,5-9,0,42,0,34,0,37
42,Lose,6-7,0,42,0,34,0,37
42,Lose,6-8,0,42,0,34,0,37
42,Lose,6-9,0,42,0,34,0,37
42,Lose,7-8,0,42,0,34,0,37
42,Lose,7-9,0,42,0,34,0,37
42,Lose,8-9,0,42,0,34,0,37
42,Draw,5-5,0,42,0,34,0,37
42,Draw,6-6,0,42,0,34,0,37
42,Draw,7-7,0,42,0,34,0,37
